REF	COMMENT	DESCRIPTION
X0	SAFETY_STATUS	Pilz PNOZ X7 774303 - wyjœcie 13/14
X1	SENSOR_B1	SENSOR_B1 (Czujnik wejœcia/liczenia)
X2	SENSOR_B2	SENSOR_B2 (Czujnik wyjœcia)
X3	SENSOR_B3	SENSOR_B3 (Czujnik HOME 0°)
X4	SENSOR_B4	SENSOR_B4 (Kontrola przep³ywu)
Y4	SYSTEM_READY	SYSTEM_READY (Sygnalizacja gotowoœci)
Y5	PNEUMATIC_VALVE 	PNEUMATIC_VALVE (Zawór przedmuchu)
M1	Bezpieczeñstwo a	Bezpieczeñstwo aktywne
M10	System gotowy	System gotowy
M21	Start cyklu	Start cyklu
M22	Transport aktywn	Transport aktywny
M23	Stabilizacja	Stabilizacja
M24	Obrót OK	Obrót OK
M25	Obrót aktywny	Obrót aktywny
M70	Praca automatycz	Praca automatyczna
M80	¯¹danie HOME	¯¹danie HOME
M82	HOME OK	HOME OK
M100	Tryb rêczny OK	Tryb rêczny OK
M110	Transport FWD	Transport FWD
M111	Transport REV	Transport REV
M112	Obrót CW	Obrót CW
M113	Obrót CCW	Obrót CCW
M114	Obrót +90°	Obrót +90°
M115	Obrót -90°	Obrót -90°
M200	Reset b³êdów	Reset b³êdów
M233	Iloœæ OK	Iloœæ OK
M240	Przedmuch rêczny	Przedmuch rêczny
M501	B³¹d pozycji wej	B³¹d pozycji wejœcia
M502	B³¹d pozycji wyj	B³¹d pozycji wyjœcia
M503	B³¹d parametrów	B³¹d parametrów
M504	B³¹d HOME	B³¹d HOME
M505	Timeout transpor	Timeout transportu
M506	Timeout obrotu	Timeout obrotu
M507	Status transport	Status transportera
M520	Detekcja zbocza 	Detekcja zbocza B4
M1000	RESET	RESET
M1001	START AUTO	START AUTO
M1002	STOP AUTO	STOP AUTO
M1003	HOME REQUEST	HOME REQUEST
M1010	Przyciski sterow	Transport FWD - START
M1011	Przyciski sterow	Transport FWD - STOP
M1012	Przyciski sterow	Transport REV - START
M1013	Przyciski sterow	Transport REV - STOP
M1014	Przyciski sterow	Obrót CW - START
M1015	Przyciski sterow	Obrót CW - STOP
M1016	Przyciski sterow	Obrót CCW - START
M1017	Przyciski sterow	Obrót CCW - STOP
M1019	Przyciski sterow	Test czujnika B4 - symulacja ON
M1020	Przyciski sterow	Test czujnika B4 - symulacja OFF
M1021	Przyciski sterow	Obrót +90°
M1022	Przyciski sterow	Obrót -90°
M1023	Przyciski sterow	Przedmuch rêczny ON
M1024	Przyciski sterow	Przedmuch rêczny OFF
M1050	Symulacja B4	Symulacja B4
M1924	First scan	First scan
M1992	Transport serwo 	Transport serwo aktywne
M1993	Rotation serwo	Rotation serwo aktywne
T5	Timeout transpor	Timeout transportu (K30000 = 300s)
T6	Timer stabilizac	Timer stabilizacji (R1410)
T7	Timeout obrotu	Timeout obrotu (K8000 = 80s)
T8	Pauza po obrocie	Pauza po obrocie (R1411)
T10	Timeout HOME	Timeout HOME (K8000 = 80s)
T50	Pomiar czasu cyk	Pomiar czasu cyklu
T200	Timer Godzin	1h=3600s
C1	Licznik opakowañ	Licznik opakowañ bie¿¹cy
R524	Transport FWD	Transport FWD
R1100	Servo Program Ta	Servo Program Table (Transport)
R1120	Servo Parameters	Servo Parameters (Transport)
R1200	Servo Parameters	Servo Parameters (Transport)
R1220	Servo Parameters	Servo Parameters (Rotation)
R1400	Opakowania w par	Opakowania w partii [1-10]
R1410	Czas stabilizacj	Czas stabilizacji [50-1000 ms]
R1411	Pauza po obrocie	Pauza po obrocie [50-500 ms]
R1500	Czas ostatniego 	Czas ostatniego cyklu [ms]
R1501	Pozycja modu³u	Pozycja modu³u [0°/90°/180°/270°]
R1507	Status zew. tran	Status zewnêtrznego transportera
D100	Licznik partii c	Licznik partii ca³kowity
D200	B³êdy pozycji we	B³êdy pozycji wejœcia
D201	B³êdy pozycji wy	B³êdy pozycji wyjœcia
D202	Timeout transpor	Timeout transportu
D203	Timeout obrotu	Timeout obrotu
D204	Aktywacje B4	Aktywacje czujnika B4
